,reviews
0,"

  The product supplied by the seller is a duplicate product.The packaging itself is bad. Most of the packs were not sealed properly - looks like heat sealed ones from kirana shop. The product quality was also flimsy. The perforations on the edge is also not uniform. I had an original one same product from Venus. The material quality of that one was much much thicker than this one. The last photo I have uploaded have both side by side. You can see the even the worn one (on top)  is better than the new one (bottom). Also the perforation at edge do not match.  I was trapped by low price. I do not generally write reviews but this one is so bad I thought I will warn others.

"
1,"

  The mask appeared used, even has one small hair, looking like moustache hair. I had been using this brand of mask for long, but this set makes me feel that few of the set may have been recycled or duplicate, for the lot no is printed separately, unlike the previous ones.

"
2,"

  The product is pathetic and people should be aware of the seriousness of putting these masks on sale. The product is absolute nonsense and not sure if this is a fake product or Venus has simply no control on their product quality check. The fit of masks is of prime importance for N95 effectiveness but the entire lot seems to be defective- the nose clip does not stay in its place and constantly slips below the nose. There seems to be no stitch to hold it in place.Better go for 3M.

"
3,"

  The mask is good but the strap that holds the mask does not give the impression of being reliable.It may give way immediately.As said above, the very second day the loop/ strap has detached from the mask.Some of the packs are also open thereby doubting the sanctity of hygiene.The supplier Elecrama, should give more importance to these factors rather than just make profits.

"
4,"

  Third class quality, I think this seller is not authentic, I have purchased this venus mask from one stockist before, on the basis of that quality I have order this. This masks seems to be like duplicate. Amazon pls look into the matter and ban this seller to protect your name and fame .

"
5,"

  Apart from obvious manufacturing defects as seen from above photo, the threads are very delicate, it will pop out if you stretch just a bit more. Quality of mask is less than I expected from my previous Venus purchases. Band attachment has visible holes, nasal metal bar is cross in most of the mask

"
6,"

  The mask ordered from Bajaj Shri group was not even stitched properly. The packing was also not proper. The mask quality was also poor. I have ordered these masks earlier also, but from different seller. Those masks were packed properly, the strings were good, and mask quality was also what it should be.

"
7,"

  The product supplied by the seller is a duplicate product.The packaging itself is bad. Most of the packs were not sealed properly - looks like heat sealed ones from kirana shop. The product quality was also flimsy. The perforations on the edge is also not uniform. I had an original one same product from Venus. The material quality of that one was much much thicker than this one. The last photo I have uploaded have both side by side. You can see the even the worn one (on top) is better than the new one (bottom). Also the perforation at edge do not match. I was trapped by low price. I do not generally write reviews but this one is so bad I thought I will warn others.

"
8,"

  1) I ordered 20 mask package each mask is packed in seperate recycling plastic bag and all 20 packs are well packed in Amazon packing.2) It's only on700 rs i e 35 rs per mask3) The straps are adjustable and nice4) nose clip is too GoodNice product, Like ItThaks to seller and Amazon

"
9,"

  Received loose masks right out of the Amazon packet. Forget a box, not even a plastic wrapper around any of them. how can i assume they are clean and not washed old masks? and how they were handled before putting them inside this packet. this is absolutely horrible. and it has no return policy.

"
10,"

  The product supplied by the seller is a duplicate product.The packaging itself is bad. Most of the packs were not sealed properly - looks like heat sealed ones from kirana shop. The product quality was also flimsy. The perforations on the edge is also not uniform. I had an original one same product from Venus. The material quality of that one was much much thicker than this one. The last photo I have uploaded have both side by side. You can see the even the worn one (on top)  is better than the new one (bottom). Also the perforation at edge do not match.  I was trapped by low price. I do not generally write reviews but this one is so bad I thought I will warn others.

"
11,"

  The mask appeared used, even has one small hair, looking like moustache hair. I had been using this brand of mask for long, but this set makes me feel that few of the set may have been recycled or duplicate, for the lot no is printed separately, unlike the previous ones.

"
12,"

  The product is pathetic and people should be aware of the seriousness of putting these masks on sale. The product is absolute nonsense and not sure if this is a fake product or Venus has simply no control on their product quality check. The fit of masks is of prime importance for N95 effectiveness but the entire lot seems to be defective- the nose clip does not stay in its place and constantly slips below the nose. There seems to be no stitch to hold it in place.Better go for 3M.

"
13,"

  The mask is good but the strap that holds the mask does not give the impression of being reliable.It may give way immediately.As said above, the very second day the loop/ strap has detached from the mask.Some of the packs are also open thereby doubting the sanctity of hygiene.The supplier Elecrama, should give more importance to these factors rather than just make profits.

"
14,"

  Third class quality, I think this seller is not authentic, I have purchased this venus mask from one stockist before, on the basis of that quality I have order this. This masks seems to be like duplicate. Amazon pls look into the matter and ban this seller to protect your name and fame .

"
15,"

  Apart from obvious manufacturing defects as seen from above photo, the threads are very delicate, it will pop out if you stretch just a bit more. Quality of mask is less than I expected from my previous Venus purchases. Band attachment has visible holes, nasal metal bar is cross in most of the mask

"
16,"

  The mask ordered from Bajaj Shri group was not even stitched properly. The packing was also not proper. The mask quality was also poor. I have ordered these masks earlier also, but from different seller. Those masks were packed properly, the strings were good, and mask quality was also what it should be.

"
17,"

  The product supplied by the seller is a duplicate product.The packaging itself is bad. Most of the packs were not sealed properly - looks like heat sealed ones from kirana shop. The product quality was also flimsy. The perforations on the edge is also not uniform. I had an original one same product from Venus. The material quality of that one was much much thicker than this one. The last photo I have uploaded have both side by side. You can see the even the worn one (on top) is better than the new one (bottom). Also the perforation at edge do not match. I was trapped by low price. I do not generally write reviews but this one is so bad I thought I will warn others.

"
18,"

  1) I ordered 20 mask package each mask is packed in seperate recycling plastic bag and all 20 packs are well packed in Amazon packing.2) It's only on700 rs i e 35 rs per mask3) The straps are adjustable and nice4) nose clip is too GoodNice product, Like ItThaks to seller and Amazon

"
19,"

  Received loose masks right out of the Amazon packet. Forget a box, not even a plastic wrapper around any of them. how can i assume they are clean and not washed old masks? and how they were handled before putting them inside this packet. this is absolutely horrible. and it has no return policy.

"
20,"

  Product is very bad quality. It's smelling very bad when I put it on my nose. I can compare and show you with the original N95 masks of same model . These N95 masks are not original please don't encourage such malpractices and duplicate sellers in Amazon.

"
